,Text_token
0,"['hijacking', 'syndicates', 'progressed', 'operating', 'internally', 'moving', 'outside', 'south', 'africa', 'borders', 'neighbouring', 'counties']"
1,"['south', 'africa', 'country', 'people', 'hijacking', 'driving', 'vw', 'toyota', 'country', 'clearly', 'risk']"
2,"['many', 'potholes', 'wc', 'according', 'bei', 'cell', 'oe', 'crimes', 'gone', 'western', 'cape', 'province', 'hijacking', 'caused', 'potholes', 'province', 'tune', 'newsroom405', 'live', 'proceedings', 'southafrica', 'potholes', 'westerncape', 'bhekicele', 'breakingnews']"
3,"['mullerlyn', 'aronhyman', 'sunday', 'times', 'za', 'nicki', 'gules', 'diannehawker', 'thank', 'exposing', 'everyone', 'coming', 'south', 'africa', 'shady', 'business', 'country', 'drugs', 'human', 'trafficking', 'spammers', 'illegal', 'miners', 'hijacking', 'syndicates', 'etc', 'mess']"
4,"['csiscanada', 'cia', 'fbi', 'pots', 'realized', 'black', 'panther', 'stars', 'going', 'groups', 'south', 'africa', 'hidden', 'diplomatic', 'access', 'hijacking', 'white', 'south', 'african', 'south', 'africa', 'government', 'officials', 'working', 'black', 'panthers', 'involved']"
5,"['latrassi', 'alot', 'also', 'living', 'rent', 'free', 'south', 'africa', 'hijacking', 'buildings']"
6,"['gov', 'seized', 'driving', 'wife', 'cameos', 'car', 'traffic', 'lights', 'near', 'mainstream', 'mediclinic', 'centuries', '8pm', 'thursday', '3', 'november', 'olifantsfontein', 'police', 'say', 'investigating', 'case', 'hijacking', 'kidnapping', 'crime', 'rampant', 'south', 'africa']"
7,"['hughmaster10', '4kala', 'james22', 'sydney', 'say', 'crime', 'ridden', 'south', 'africa', 'never', 'worry', 'school', 'shootings', 'country', 'cash', 'transit', 'heist', 'atm', 'bombings', 'huge', 'hijacking', 'still', 'rampant', 'af', 'guns', 'taking', 'lives', 'schools']"
8,"['foreigners', 'south', 'africa', 'illegally', 'others', 'legally', 'illegal', 'activities', 'illegal', 'mining', 'spamming', 'citizens', 'hijacking', 'cars', 'buildings', 'human', 'trafficking', 'forced', 'sex', 'slavery', 'drugs', 'counterfeiting', 'food', 'money', 'fake', 'doctors', 'etc']"
9,"['companies', 'need', 'know', 'protected', 'company', 'hijacking', 'lego', 'modify', 'register', 'seminar', 'news', 'read', 'article', 'heres', 'claw', 'cfp', 'fraudweek', 'internationalfraudweek', 'companyhijacking']"
10,"['aquamanman400', 'mo', 'beauty16', 'mc', 'bills89', 'mhlonishwa', 'ances', 'many', 'thats', 'guy', 'fall', '2', 'percent', 'rest', '98', 'commenting', 'kind', 'crime', 'think', 'like', 'foreigners', 'decided', 'south', 'africa', 'commit', 'crime', 'lesotho', 'illegal', 'mining', 'nigerian', 'drugs', 'trafficking', 'zimbabwe', 'hijacking', 'pickpocketing']"
11,"['thee', 'iranian', 'benjimk', 'truth', 'always', 'remain', 'truth', 'im', 'sorry', 'south', 'africa', 'good', 'country', 'visit', 'good', 'lost', 'belongings', 'hijacking']"
12,"['spread', 'word', 'guys', 'stop', 'buying', 'toyota', 'hill', 'raider', 'col', 'cars', 'hijacking', 'targets', 'every', 'week', 'sa', '3040', 'stolen', 'cautious', 'case', 'missed', 'south', 'africa', 'spread', 'word']"
13,"['insane', 'foreigners', 'come', 'south', 'africa', 'whatever', 'want', 'human', 'trafficking', 'drugs', 'poaching', 'wildlife', 'counterfeit', 'food', 'money', 'hijacking', 'buildings', 'cars', 'fake', 'professionals', 'smuggling', 'explosives', 'etc', 'enough', 'un', 'bbc', 'breaking', 'cnnbrk', 'daily', 'mail', 'uk']"
14,"['government', 'cant', 'deal', 'crime', 'south', 'africa', 'raperobberystealing', 'house', 'breaking', 'hijackinggender', 'based', 'violencezamazamas', 'cable', 'theftetc', 'community', 'end', 'crime', 'doneits', 'time', 'people', 'stand']"
15,"['abramjee', 'rzburg', 'mid', 'long', 'another', 'one', 'arrested', 'dobsonville', 'car', 'hijacking', 'gang', 'police', 'officers', 'oh', 'country', 'south', 'africa']"
16,"['j52113965', 'im', 'south', 'africa', 'ive', 'buried', 'times', 'remember', 'first', 'husband', 'shot', 'dead', 'hijacking', 'lucky', 'get', 'car', '6', 'month', 'old', 'son', 'another', 'hijacking', 'red', 'know', 'trauma', 'xenophobia', 'uk', 'scares']"
17,"['south', 'africa', 'government', 'struggling', 'get', 'grips', 'massive', 'hijacking', 'state', 'resources', 'private', 'benefit', 'occurred', 'especially', 'administration', 'former', 'president', 'jacob', 'zum']"
18,"['crime', 'lira12joy', 'haat', 'mara', 'mzanzian', 'officer', 'law', 'hijacking', 'another', 'officer', 'law', 'officers', 'law', 'vehicle', 'using', 'stolen', 'officers', 'law', 'gundeath', 'sentence', 'straighteish', 'south', 'africa']"
19,"['south', 'africa', 'cops', 'dont', 'take', 'bribes', 'also', 'participate', 'raping', 'hijacking', 'murdering', 'civilians']"
20,"['south', 'africa', 'gluten', 'traffic', 'officer', 'arrested', 'allegedly', 'hijacking', 'cops', 'car', 'story', 'handle', 'khumalo']"
21,"['vehicle', 'tracker', 'whats', 'next', 'magistrates', 'hijacking', 'prosecutors', 'judges', 'high', 'court', 'caught', 'housing', 'breaking', 'magistrate', 'house', 'constitutional', 'court', 'judge', 'arrested', 'police', 'tagging', 'magistrate', 'welcome', 'south', 'africa']"
22,"['traffic', 'police', 'hijacking', 'cars', 'south', 'africa', 'movie']"
23,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'read', 'hijacking', 'stay', 'safe', 'stay', 'vigilant']"
24,"['fish', 'thing', 'crime', 'guess', 'believe', 'crime', 'nationality', 'tag', 'please', 'guy', 'drinksmoke', 'mozambican', 'zimbabwe', 'pee', 'believe', 'ones', 'car', 'hijacking', 'south', 'africa', 'fake', 'south', 'african', 'sorry']"
25,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
26,"['abcnews', '100', '00', '00', 'unemployment', 'loading', 'children', 'end', 'mar', 'south', 'africa', 'thats', 'youths', 'selling', 'drugs', 'robbery', 'hijacking', 'means', 'living']"
27,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
28,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
29,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
30,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
31,"['nickmangwana', 'south', 'africa', 'losing', 'types', 'cars', 'hijacking', 'country', 'way', 'something', 'fishy']"
32,"['hijacking', 'rise', 'south', 'africa', 'caps', 'crime', 'statistics', 'show', '5866', 'hijacking', 'reported', 'across', 'country', 'april', 'june', '2022', '14', 'increase', '5146', '2021', 'south', 'africa', 'crime', 'anc', 'failed', 'state']"
33,"['je', 'callaghan1', 'massive', 'devil', 'cant', 'south', 'africa', 'many', 'cars', 'phone', 'throws', 'doors', 'hijacking', 'purposes', 'works', 'treat']"
34,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
35,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
36,"['yearonyear', 'increase', 'hijacking', 'reports', 'means', 'car', 'estimated', 'stolen', 'every', '22', 'minutes', 'south', 'africa', 'south', 'africa', 'via', 'businesstech', 'sa']"
37,"['sa', 'police', 'service', 'still', 'business', 'levels', 'lawlessness', 'lirandzu', 'thema', 'rsasiu', 'hawks', 'hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
38,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'business', 'tech']"
39,"['wake', 'south', 'africa', 'military', 'trained', 'soldiers', 'sad', 'countries', 'mainly', 'zimbabwe', 'lesotho', 'breaking', 'country', 'apart', 'illegal', 'mining', 'gang', 'rapes', 'business', 'robbery', 'atm', 'bombings', 'hijacking', 'quiet', 'fear', 'labelled', 'xenophobia']"
40,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals']"
41,"['news24', 'cde', 'benin', 'millions', 'zimbabweans', 'south', 'africa', 'committing', 'countless', 'violent', 'crimes', 'including', 'murder', 'rape', 'car', 'hijacking', 'farm', 'murders', 'much', 'however', 'none', 'prepared', 'stay', 'country', 'overthrow', 'government', 'destroyed', 'grow', 'balls']"
42,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'greater']"
43,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals']"
44,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'greater']"
45,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
46,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals', 'via', 'businesstech', 'sa']"
47,"['hijacking', 'rise', 'south', 'africa', 'cars', 'criminals']"
48,"['sandilepanther', 'trouble', 'even', 'chinese', 'hijacking', 'south', 'africa', 'must', 'also', 'start', 'looking', 'passport']"
49,"['hay', 'guys', 'hay', 'zimbabweans', 'killing', 'hijacking', 'day', 'light', 'people', 'belong', 'south', 'africa', 'bad', 'us', 'citizens', 'protected', 'country']"
50,"['of0ku', 'khoshhy', 'maybe1', 'judged3', 'nigerian', 'bigger', 'problem', 'profile', 'hardly', 'ever', 'hear', 'positive', 'news', 'always', 'drugs', 'prostitution', 'kidnapping', 'hijacking', 'buildings', 'fraud', 'south', 'africa', 'would', 'better', 'place', 'went', 'home']"
51,"['justice', 'system', 'messed', 'up12', 'years', 'cashintransit', 'heist', 'hijacking', 'vehiclecrime', 'pays', 'south', 'africa', 'tampering', 'courts', 'parole', 'board', 'criminals', 'basically', 'incentive', 'commit', 'crime']"
52,"['mention', 'one', 'nigerian', 'working', 'appropriate', 'job', 'south', 'africa', 'one', 'whos', 'selling', 'drugs', 'fake', 'pastor', 'murderer', 'rapist', 'human', 'traffickers', 'using', 'original', 'visa', 'even', 'hijacking', 'buildings', 'foreign', 'country']"
53,"['protect', 'driver', 'cargo', 'developed', 'b6', 'shotgun', 'v20', 'armouring', 'kit', 'hint', '500', 'series', 'response', 'sharp', 'increase', 'truck', 'hijacking', 'incidents', 'across', 'south', 'africa', 'see', 'full', 'shotgun', 'v20', 'range']"
54,"['errolbsk', 'sure', 'residing', 'south', 'africa', 'economy', 'growing', 'thing', 'growing', 'murder', 'rape', 'hijacking', 'corruption']"
55,"['fan', 'id', 'like', 'see', 'address', 'kind', 'challenges', 'apparently', 'already', 'used', 'insurance', 'tracking', 'companies', 'south', 'africa', 'cars', 'trackers', 'cars', 'increased', 'hijacking', 'theft', 'cars', 'south', 'africa']"
56,"['south', 'africa', 'others', 'committing', 'crimes', 'robbing', 'fighting', 'locals', 'hijacking', 'buildings', 'sell', 'drugs', 'engage', 'human', 'trafficking', 'given', 'access', 'nations', 'visas', 'anymore']"
57,"['psaflive', 'south', 'africa', 'buildings', 'hijacked', 'townships', 'must', 'apply', 'eviction', 'notice', 'granted', 'instances', 'people', 'arrested', 'trespassing', 'hijacking', 'buildings', 'metros']"
58,"['criminals', 'south', 'africa', 'getting', 'janvier', 'smarter', 'latest', 'stats', 'police', 'show', 'hijacking', 'reaching', 'alltime', 'high', 'latest', 'hijacking', 'trends', 'stay', 'safe', 'streets', 'briefly', 'news', 'explains']"
59,"['fake', 'criminals', 'dressed', 'south', 'african', 'police', 'hijacked', 'man', 'near', 'potchefstroom', 'south', 'africa', 'sa', 'crime', 'potchefstroom', 'south', 'africa', 'hijacking']"
60,"['carbon', 'criminal', 'south', 'africa', 'actually', 'expensive', 'vehicles', 'stop', 'hijacking', 'cracking', 'crisp', 'criminal', 'cars']"
61,"['didnt', 'call', 'backup', 'shoot', 'mustard', 'attempt', 'hijacking', 'courier', 'van', 'happened', 'neville', 'job', 'south', 'africa', 'movie']"
62,"['hijacking', 'increased', 'around', '64', '00', 'south', 'african', 'saying', 'ive', 'experienced', '134', '00', 'huge', 'jump', '63', 'victims', 'reported', 'type', 'crime', 'roku19', 'stats', 'sa', 'south', 'africa', 'salaamedia', 'full', 'interview']"
63,"['val', 'triangle', 'hijacking', 'hand', 'south', 'africahijacking', 'southafrica']"
64,"['live', 'south', 'african', 'hijacking', 'alltime', 'high', 'solely', 'molar', 'chief', 'director', 'social', 'statistics', 'stats', 'sa', 'elaborate', 'roku19', 'stats', 'sa', 'hijacking', 'south', 'africa']"
65,"['south', 'africa', 'kanye', 'west', 'east', 'gets', 'named', 'cargo', 'hijacking', 'charge', 'mfs']"
